name,cost,type,rules,flavor,metatype,name2,cost2,type2,rules2
Calm of Life,UR,Instant,"
Destroy target creature",,,,,,
Void Gremlin,1G,Creature - Dryad (3/1),"
All untapped creatures with total power and toughness 3 get +2/+2

Whenever ~this~ is put into a graveyard from the battlefield, destroy a land from each player. They can't be regenerated.

As long as you control a nonlegendary permanent, all green creatures get +1/+1",,,,,,
Show and shout,2U,Instant,"
Each player may put a card from hand onto the battlefield",,,,,,
Oracle Hideout,,Land,"
~this~ enters the battlefield tapped.

T: add 1 to your mana pool

T: add 2 to your mana pool. Spend this mana only on spells and activated abilities.",,,,,,
Energy Rain,3W,Instant,"Each player may search his or her library for up to one basic land card and put it into hand. Each player who searched his or her library this way shuffles it.

Spellmorph 1W",,,,,,
Spreading Elk,4R,Creature - Beast (3/1),"If a creature would regenerate, instead you may have ~this~ deal 2 damage to target creature.

Tap an untapped library you control: Regenerate ~this~. ~this~ doesn't deal combat damage this turn.

Morph 3R",,,,,,
Cunning King,UB,Creature - Zombie Dragon (2/1),"
Flying

T: sacrifice any number of basic lands. ~this~ deals that much damage to target player with X life, where X is the number of basic land types among lands you control

All Swamps gain protection from black",,,,,,
Skeleton Garrison,,Land,"T: add R to your mana pool 

T: add G to your mana pool",,,,,,
Ill-Gotten Giant,4RR,Creature - Beast (3/1),"
At the beginning of each opponent's end step, flip ~this~.
1, Sacrifice a attacking or blocking creature: gain control of target Beast until end of turn

Morph 3R

","--His tree can defeat the aspirational milk
– Traditional (ascended)",kami,Dead Diviner,,"Legendary Creature - Beast (4/2)
","All creatures with power 1 or less get +2/+0 

Whenever a Beast is dealt damage, add RR to your mana pool"
Slave of the Face,1WW,Creature - Giant Soldier (3/2),"
All enchantments gain: 
''2: target opponent may search his or her library for a enchantment card, 
reveal it, and put it into his or her hand. If that player does, that player shuffles that library afterwards.''",,,,,,
Oasis Camp,,Land,"
~this~ enters the battlefield tapped.

T: add 1 of any color to your mana pool

All Elves are black",,,,,,
Core of Despair,4GG,Tribal Enchantment - Beast,"
1: up to two target creatures with wither get +4/+4 until end of turn'","--Every best toad walls off the tiger made of map
Though a seed proves better than even the toothbrush
– Scoap, Cruel Shaman",,,,,
Dragonscale Berserker,4,Creature - Zombie (3/3),"
When ~this~ is returned to its owner's hand, target opponent may Pay 2 life. 
If that player doesn't, two target creatures gain unblockable until end of turn.

When ~this~ is put into a graveyard from the battlefield, you may Pay 1 life. 
If you do, target creature with both power and toughness 3 or more can't block until end of turn",,,,,,
Void Orb,3GW,Instant,"
Choose one: ~this~ deals 4 damage to each attacking or blocking creature; or destroy target enchantment. It can't be regenerated.",,,,,,
Stone of Sentience,2R,Artifact,"
When ~this~ enters or leaves the battlefield, ~this~ deals 1 damage to target creature or player

T, Tap an untapped permanent you control: ~this~ deals 1 damage to each creature and player for each poison counter you have","--His cat made of territory kills the mightiest plantation and can defeat even the mightiest heart
Whilst her game writes more swiftly than the fuel
– Oulet the True",,,,,
Spirit Hail,WW,Instant - Arcane,"
Two target creatures get +0/+4 until end of turn",,,,,,
Ember Outpost,,Land,"
Tap an untapped permanent you control, Discard a enchantment card, T, sacrifice ~this~: 
Each player may search his or her library for up to three land cards and put them into hand. Each player who searched his or her library this way shuffles it.

All nonlegendary enchantments are black

T: you may tap or untap target permanent an opponent controls",,,,,,
Humble Gift,G,Sorcery - Arcane,"
Target opponent may search his or her library for a creature card, 
reveal it, and put it into its owner's graveyard. If that player does, that player shuffles that library afterwards.","--Her game made of stone hates more effectively than the treatment would
– Andrewducker, the wise",,,,,
Sparkling Manticore,4RR,Creature - Dragon Wizard (2/2),"
Flying

T: Assemble a Contraption

When ~this~ enters the battlefield, target opponent may pay 1UU. If that player doesn't, 
~this~ deals 1 damage to target player for each basic land type among lands you control

1U: return target permanent to its owner's hand",,,,,,
Starving Wanderer,1UB,Creature - Spirit (1/3),"
All artifact creatures get -1/-1

Whenever ~this~ creature is dealt damage, remove target creature and opponent controls and target creature you control to their owners hand.","--The greatest seed may sing
– Aeshes Shenvosia Wisetongue",,,,,
Core of Despair,4UU,Enchantment,"
When an opponent controls no nonred permanents, flip ~this~.

Tap two untapped permanent you control: counter target sorcery spell unless an opponent pays 1

At the beginning of your upkeep, you may Tap an untapped permanent you control. 
If you don't, put a time counter on ~this~. If ~this~ has seven or more time counters on it, flip it.

Sacrifice ~this~: two target creatures get -3/-0 until end of turn
",,kami,The Wicked Harbinger,,Legendary Enchantment,"Discard a card: put a 1/1 blue Merfolk creature token onto the battlefield 

WUB, Tap an untapped permanent you control, sacrifice a Merfolk: 
Return up to the discarded card's converted mana cost target permanents to their owner's hand 

When ~this~ leaves the battlefield, attach target Equipment to target Wizard
(Control of that Equipment doesn't change.) and tap that Equipment."
Lord of the Ghast,3(W/B),Creature - Bird (2/2),"
Flying

Whenever a spell is countered, return all nonland permanents to their owner's hand

Whenever ~this~ is returned to its owner's hand, put two 1/1 Bird token into play.","--His apple made of steel burns the proper car and disappears more destructively than the fastest border shall
– Soth Gethifrosk, Hermit of the Endless Meadow",,,,,
Oracle for the Herald,3G,Creature - Human Shaman (3/3),"
G: add one mana of any colour to your mana pool

Tap an untapped library you control: Add GG to your mana pool. ",,,,,,
Distortion of Energy,BBB,Sorcery,"
Choose one: target land gains ''2, Pay 1 life: ~this~ deals 1 damage to target creature with both power and toughness 2 or more and that creature gets -3/-1 until end of turn'' until end of turn; or destroy target nonblack creature; or Return target creature card from your graveyard to the battlefield

Spellmorph 2B",,,,,,
Inferno,2W,Instant,"Attach target Aura to target untapped creature. Gain control of that creature until end of turn

Storm

Spellmorph 1W",,,,,,
Deluge,U,Instant,"
Kicker X, where X is the number of Elementals on the battlefield
If you paid the first kicker cost, each of up to X Creatures gain +1/+1 until end of turn.

Two target creatures gain shroud until end of turn.

Target Elemental is a artifact in addition to its other types until end of turn and untap that permanent.",,,,,,
Charm of Arcane Magic,1UU,Instant,"Kicker 4UU
If you paid the kicker cost, return up to one target tapped permanents to their owner's hand

Counter target spell

Flashback 3UU",,,,,,
Fungal Alligator,4R,Artifact Creature - Thopter (3/3),"
Flying

When ~this~ is put into a graveyard from the battlefield, clash with an opponent. If you win, tap target permanent you control and tap that permanent",,,,,,
Spellshield of Lightning,2,Instant,"
Put a 1/3 red Elemental creature token with haste onto the battlefield.","--A wren walls off the proper sail but lies stronger than the grandest territory
– Temp�, the white knight",,,,,
Rage of the Stars,3B,Sorcery - Arcane ,"Choose one: 
~this~ deals 4 damage to target creature or player and target creature gets -1/-1 until end of turn;
or destroy target nonblack creature and gain control of target colourless creature until end of turn;
or destroy target black creature and sacrifice a creature",,,,,,
Priests Tinkerer,RGW,Legendary Creature - Elf Druid (2/2),"
Tap each of the five untapped Basic lands under your control: you may put up to tree cards from hand onto the battlefield.",,,,,,
Illusion of Honesty,2BB,Instant,"
Destroy target nonblack creature.",,,,,,
Deflection Curse,3RRRRR,Sorcery,"
Target untapped creature with both power and toughness 3 or less gets +4/+0 until end of turn.

Spellmorph 2R","--Nature flees a fang but defends more insidiously than even the fastest grass could
– Unattributed (questionable)",,,,,
Word of Guardians,WW,Tribal Enchantment - Cleric,"
Whenever you cast a artifact spell, flip ~this~.
",,kami,Envoy of Chance,,Legendary Tribal Enchantment - Cleric,"All Clerics get +1/+1 

Sacrifice a creature: tap all blue permanents and tap those permanents 2: target black creature gains '
'Threshold - If you have seven or more cards in your graveyard, green spells cost your opponents up to 4 less to cast'' until end of turn"
Phantom Chopper,G,Creature - Human Warrior (1/1),"
At the beginning of each opponent's combat phase, put a speed counter on ~this~. 
If ~this~ has X or more speed counters on it, where X is the number of cards in your hand, flip it.
","-- When sleepy, Her soda sprints even one bird and guides more swiftly than the girl ever would
– Yausp Laca the Hard-Hearted, Head Shaman of the Order of the Shimmering Wolf",kami,Seer of the Heavens,,Legendary Creature - Human Warrior (2/3),"Whenever a enchantment leaves the battlefield, add 1G to your mana pool reach"
Abjuration of Control,1U,Instant,"
Until end of turn, if a artifact creature would be put into a graveyard from the battlefield, return it to its owner's hand instead",,,,,,
Vicious Breath of Magical Defenses,1RRRR,Enchantment,"
Discard a enchantment card: attach target Equipment to target creature with haste. Gain control of that Equipment (This effect doesn't end)

Hellbent - If you have no cards in hand, RRRR: destroy all artifacts an opponent controls. They can't be regenerated.","-- When provoked, His sugar burns the proper cloth yet may catch the grandest fuel
– Venser of Phyrexia",,,,,
Enhanced Seed of Poise,4GG,Enchantment - Aura,"
Enchant creature

Sacrifice a nonred creature: up to one target creatures get +4/+2 until end of turn

Enchanted creature gains ''Discard a instant card: untap two target creatures''",,,,,,
Soul Blaze,RB,Sorcery,"
You sacrifice a creature. untap target creature and gain control of it until end of turn. It gains haste until end of turn.",,,,,,
Sanguine Undead,B,Creature - Zombie (2/2),"
Whenever a creature is dealt damage, target opponent may Sacrifice a untapped land. 
If that player does, target opponent puts a 1/1 green Snake creature token onto the battlefield

At the beginning of your upkeep, you may return target creature card from your graveyard to hand and sacrifice ~this~",,,,,,
Vampiric Token of Blood,U,Enchantment,"
4U: put a 1/1 blue Faerie creature token with flying onto the battlefield

Pay 4 life: put a 1/1 blue Faerie creature token with flying onto the battlefield

2UW: put a 1/1 blue and white Soldier creature token onto the battlefield

Sacrifice a Soldier: ~this~ can't be the target of spells until end of turn

2, sacrifice any number of Soldiers: tap up to that many target nonlegendary Drakes",,,,,,
Cunning Mastodon,BRG,Creature - Beast (3/3),"When ~this~ enters the battlefield, target opponent may Discard a card. 
If that player does, destroy all artifacts and you may tap or untap all permanents and untap those permanents",,,,,,
Sedatore Voritho,3BB,Planeswalker - Sedatore (Loyalty 3),"
+1: target Wizard gains ''1R: ~this~ deals 4 damage divided as you choose among any number of target players. 
Creatures damaged this way can't be regenerated this turn'' until end of turn and that creature gets +3/+3 until end of turn

-1: ~this~ deals 1 damage to target player with 2 or more poison counters for each basic land type on the battlefield

-5: put five +1/+1 counter on target Gnome",,,,,,
Missing Child,BR,Creature - Spirit (1/2),"
All permanents gain ''At the beginning of your upkeep, you may pay 3B. If you do, Regenerate ~this~''

3BB: target player may return two cards from his or her graveyard to his or her hand.","--His castle rallies the confused crow but gathers more daintily than even the beast
– Naque Gicheigi Keentongue, Elder Mage of the Order of the Golden Eye",,,,,
Wild Herald,R,Creature - Human Shaman (1/2),"
2, Sacrifice a land: ~this~ gets +1/+0 until end of turn

Tap an untapped library you control: Return a land card from your graveyard to the battlefield under your control","--Every stew may defeat the proper treatment made of steel
– Theplowe Lewe the Conniving",,,,,
Moon Eruption,UUUU,Sorcery,"
Draw three cards

Spellmorph 3U",,,,,,
Immortal Lamp,3RB,Artifact,"If you would gain life, instead tap up to that many target permanents and/or libraries an opponent controls",,,,,,
Mortal Boon of Valiance,1B,Enchantment,"
2: any number of target blue creatures can't be blocked except by artifact creatures until end of turn

All multicoloured creatures gain protection from Dragons","--The best plan can kill
– Unknown I",,,,,
Majestic Pyromancer,3BBRR,Artifact Creature - Zombie Rogue (2/3),"
Whenever you cast a black creature spell, target creature with toughness 3 or less gets -3/-3 until end of turn

Whenever a creature with total power and toughness 4 or less is dealt damage, destroy target creature",,,,,,
Fountain Brute,2W,Creature - Human Samurai (1/2),"
Bushido 2

Whenever an opponent gains life, you may search your library for a artifact card,
reveal it, and put it into your hand. If you do, you shuffle that library afterwards.

1, Discard a card: put a money counter on target permanent

3: gain control of target permanent with a money counter on it until end of turn

Each enchantment with a money counter on it is black",,,,,,
A Big Friend,P,Creature - Elemental (6/6),"You may cast ~this~ by paying 4GG instead of paying its mana cost

Trample","--There's exactly one place where you can find friends, and it's right here.",,,,,
Phallic Eldrazi,2UW,Artifact Creature - Myr (3/4),"
All Goblins gain protection from instant spells

GG: attach target Equipment to target green creature. Gain control of that Equipment until end of turn",,,,,,
Illicit Beast,UB,Creature - Elemental Wizard (4/2),"
Shroud

At the beginning of your precombat main phase, all Elementals get -2/-0 until end of turn","--Her vest made of hose can crush the best income
– LiveJournal I",,,,,
Radiant Smuggler,3W,Creature - Cleric (3/3),"
When ~this~ leaves the battlefield, you may Discard a card. If you do, put a 1/1 white Soldier creature token with first strike onto the battlefield","--Humanity burns the mightiest caption yet amuses greater than the twig
– Sesch, Priest of the Lost Grove",,,,,
Vengeance of Phantoms,UU,Instant,"
Target player reveals the top six cards of his or her library. that player puts a instant and a sorcery card from among them into hand, and shuffles the rest into his or her library.

Spellmorph 1UU","--A tramp guesses faster than the skilled aftermath
– Cequerell, King of the Wilderness, Initiate Knight of the Alliance of the Shimmering Coast",,,,,
Raiding Praetor,GWU,Creature - Human Samurai (2/1),"
Bushido 1

When ~this~ is put into a graveyard from the battlefield, you put two 1/1 black Cleric creature tokens onto the battlefield","--Her room burns better than even the grandest north
– Anonymous",,,,,
Teta Osemu,GGG,Planeswalker - Teta (Loyalty 4),"
+1: target player puts a 1/1 green Snake creature token onto the battlefield

-2: untap up to two target basic Lands

-7: put two +1/+1 counters on all creatures you control and untap those creatures","--His dust enjoys the proper cup and divides more impressively than the whispered boy
Although her stage enlarges the wisest language
– Vram of GoldenThroat",,,,,
Brand of Elite Caring,1UUUU,Enchantment - Aura,"
Enchant creature

Whenever enchanted creature leaves the battlefield, two target nonblue creatures get -3/-0 until end of turn

4: draw two cards

5: return target creature and all attached auras to its owner's hand",,,,,,
Feral Elf,2G,Creature - Elf Shaman (2/3),"
3, sacrifice ~this~: destroy target land and target creature gets +2/+3 until end of turn",,,,,,
Shattering Lightbringer,UU,Creature - Merfolk Wizard (1/1),"1U, Discard a card: draw three cards, then discard a card",,,,,,
Warp,2W,Sorcery,"
Put a 4/2 white Cleric creature token onto the battlefield for each creature spell cast this turn.","--Nature is greater than even the carpenter
– Nursery Rhyme (Trad.)",,,,,
Legion of the Pit,2BB,Creature - Zombie Wizard (3/2),"Deathtouch

1(U/B)(U/B): put a 1/1 colourless Spirit creature token onto the battlefield

B, sacrifice three Spirits: target artifact creature gets -2/-2 (This effect doesn't end)",,,,,,
Missing Manticore,GWW,Creature - Treefolk Warrior (3/2),"
If a multicoloured creature would be dealt damage, that damage is dealt to target creature with flying instead

G: add 1 of any color to your mana pool

Tap an untapped library you control: target creature gains flying until end of turn.

All permanents are green

When ~this~ enters the battlefield, you may pay 2GG. If you do, draw three cards",,,,,,
Esoteric Bolt,BRG,Instant,"
Choose one: ~this~ deals 1 damage to target creature for each card in your graveyard; or destroy target land

Spellmorph 1BRG","--His trip burns more destructively than even the hugest soap
– Hazezon Tamar, the elder",,,,,
Hellspawn Ghast,BRG,Creature - Goblin Warrior (2/1),"
Whenever ~this~ deals damage to a player, you may pay 2R. If you do, ~this~ deals 2 damage to each of two target creatures or players

Deathtouch",,,,,,
Mountain Stronghold,,Land,"
1, T: add 2 mana of any color to your mana pool",,,,,,
Ice Defence,1RRR,Sorcery,"
Destroy all artifacts

Spellmorph 3RR","--His ghost gazes better than the greatest vacation
– The Internet of Innistrad",,,,,
Oracle of the Crow,1G,Creature - Spider (2/3),"Reach 

Sacrifice a Beast, Discard a card: regenerate any number of target creatures.

Tap an untapped library you control: Target creature loses flying until end of turn.",,,,,,
Shimmering Harpy,1B,Creature - Spirit (2/2),"
Fear

Sacrifice a land you control, T: Untap target library",,,,,,
Parasitic Crow,2WW,Creature - Bird (2/1),"
Flying

At the beginning of your upkeep, you may pay 1W, if you do, put a destiny counter on target permanent

3W: tap target permanent with a destiny counter on it",,,,,,
Flying Technican,B,Creature - Spirit (1/2),"
All white enchantments gain protection from black

All creatures with fear can't be blocked except by Spirits

Tap an untapped library you control: Target creature you control gains fear until end of turn.",,,,,,
Adversary of the Abomination,2B,Creature - Rat (1/2),"
2BG, discard a card: target opponent may search his or her library for a creature card, 
reveal it, and put it into his or her hand. If that player does, that player shuffles that library afterwards.",,,,,,
Ring of Chaos,U,Sorcery,all other permanents can't be the target of spells (This effect doesn't end),,,,,,
Solid Prophet,UU,Creature - Illusion Dragon (3/3),"If ~this~ would deal damage to a creature, prevent 2 of that damage
5U: you may put two cards from hand onto the battlefield",,,,,,
Lostprey Post,,Land,"
T: add 2 to your mana pool. Spend this mana only on instant or sorcery spells.

T: add 1 to your mana pool.

1, T: add 1 mana of any color to your mana pool.",,,,,,
Death Surge,1(R/G)(R/G),Instant,"
~this~ deals 3 damage split to any number of target creatures or players","--Her activity can defeat even the team
– Jak I",,,,,
Servant to the Guardian,(B/R)(B/R),Creature - Goblin Shaman (1/2),"
T: target creature gets +1/+0 until end of turn, you may tap an untapped library you control. 
If you do, instead that creature gets +3/+0",,,,,,
Enchanting Praetor,4G,Creature - Elf Warrior (3/2),"
All artifact creatures get +1/+1

T: destroy target creature with flying",,,,,,
Ill-Gotten Hellkite,1GG,Artifact Creature - Beast (3/1),"
3G: Regenerate ~this~

When ~this~ is put into a graveyard from the battlefield, destroy target creature.

At the beginning of your upkeep, distribute up to one +1/+1 counters on a black creatures

1GG: search your library for a land card and put it into hand, then shuffle your library","--A single sugar may catch the greatest ball
– Klyd Eastro, Merchant Traitor",,,,,
Southland Outpost,,Land,"T: add R to your mana pool

1, T: add 1 of any color to your mana pool",,,,,,
Attunement of Vicious Shock,UR,Enchantment,"
All creatures gain ''Tap an untapped artifact you control: target creature gets -1/-2 until end of turn''",,,,,,
Blinding Mastodon,R,Creature - Dragon (1/1),"
Flying

First strike

Tap an untapped library you control: ~this~ gets +2/+0 until end of turn",,,,,,
Wall of Mastodon,2WWWW,Creature - Human Cleric (1/2),"When ~this~ is put into a graveyard from the battlefield, clash with an opponent. If you win, target untapped land is a 1/1 creature in addition to its other types until end of turn 

3WWWW: destroy target nonblack creature 

Sacrifice ~this~, Pay 3 life: target player gains 1 life for each sorcery spell cast this turn",,,,,,
Wild Horror,2G,Creature - Snake (2/1),"
When ~this~ enters the battlefield, clash with an opponent. If you win ~this~ enters the battlefield with two +1/+1 counters on it

Whenever ~this~ deals combat damage, put a +1/+1 counter on ~this~

T, Discard a enchantment card, remove a +1/+1 counter from ~this~ for each basic land type among lands an opponent controls: untap target permanent",,,,,,
Projection of Sanity,(B/R)(B/R),Sorcery,"
Choose one: ~this~ deals 2 damage to target playe; or exchange control of target red permanent you control and target permanent of the same type target opponent controls

Entwine 1BR",,,,,,
Sluggish Golem,RR,Artifact Creature - Gargoyle (3/1),"
Whenever you lose life, attach target Equipment to target artifact creature.",,,,,,
Whisper of Grand Worship,2W,Enchantment - Aura,"
Enchant creature

Whenever enchanted creature deals combat damage, destroy target enchantment.","--only the best banana understands more impressively than even the fastest quilt
– Olochee Traishia the Brave",,,,,
Creeping Light,4B,Creature - Spirit (2/1),"T: sacrifice any number of permanents. target player loses half as much life, rounded down.

When ~this~ enters the battlefield, target opponent loses 4 life and you gain that much life",,,,,,
Sturdy Artist,U,Creature - Bird Wizard (1/2),"Flying

Whenever a enchantment spell is countered, you may Tap an untapped green permanent you control. If you do, return any number of target basic lands to their owner's hand.

Whenever an opponent casts a blue creature spell, two target red creatures get -1/-0 until end of turn.",,,,,,
Sanguine Champion,4B,Creature - Zombie Cleric (2/3),"
T: put a +1/+1 counter on ~this~

Discard a artifact card, remove a +1/+1 counter from ~this~: all token creatures get -1/-1 until end of turn

Pay 1 life, Tap an untapped library you control: Regenerate ~this~","--His park walls off the beast but deceives greater than even the hall
– Unknown",,,,,
Mind Whip,BB,Instant,"
Choose one: target creature gets -3/-3 until end of turn; or you reveal the top three cards of your library. you put one from among them into hand, and shuffle the rest into your library.",,,,,,
Crown Post,,Land,"
Sacrifice a land, Tap an untapped permanent you control, T: add 2U to your mana pool. Spend this mana only on spells.

Sacrifice a permanent: attach target Equipment to target multicoloured creature. (Control of that Equipment doesn't change.)","--A single aunt irritates louder than the bravest aunt
– Freyalise, the white sorcerer",,,,,
Defiant Disciple,UB,Artifact Creature - Gnome (1/1),"
As long as this is tapped, all permanents gain protection from permanents

Tap an untapped library you control: Untap ~this~. Only your opponents may activate this ability.",,,,,,
Wild Base,,Land,"
~this~ enters the battlefield tapped.

T: add G to your mana pool

1,T: add one mana of any color to your mana pool",,,,,,
Symbol of Triumph,1WW,Enchantment,"
All artifact creatures can't attack or block","--His territory kills even one crow but admires better than the flag
– Anonymous (?)",,,,,
Forgotten Crow,U,Creature - Merfolk Wizard (2/1),"
All lands can't be the target of spells and activated abilities

4: tap any number of target libraries",,,,,,
Pestilence Book,4BU,Artifact,"
Activated abilities that aren't mana abilities cost all players to 2 more

Morph 3UB",,,,,,
Indignation of Hell,(W/U)(W/U),Sorcery,"
Return target Aura card from your graveyard to the battlefield, attached to a creature","--Even the greatest lunch changes stronger than even the mightiest kite
– Parcher of Thunderhead",,,,,
Frostbite,1UU,Instant,"The next time a creature with flying would deal damage this turn, prevent 6 of that damage.",,,,,,
Forcefull Spider,2R,Creature - Horror Spider (3/2),"
3RW: You and target opponent each untap and gain control of all creatures with total power and toughness 3 or more the other controls until end of turn.

Sacrifice ~this~: destroy target land. Untap a library you control","--His pen transcends even the bravest heart
– Ustashi, Druid of the Broken Desert, Arch Hermit of the Shimmering Throne",,,,,
Hymn of Shadow Resist,UBR,Enchantment,"
Sacrifice ~this~: target attacking or blocking creature gets -2/-2 until end of turn",,,,,,
Avenging Archer,3U,Creature - Illusion Goblin (2/1),"
Threshold - If you have seven or more cards in your graveyard, All equipped creatures gain ''When ~this~ leaves the battlefield, copy target sorcery spell and you may choose new targets for the copy''

All facedown creatures can't be blocked except by creatures with flying",,,,,,
Infusion of the Scourge,2WW,Enchantment - Aura,"
Enchant permanent

Whenever enchanted permanent becomes the target of a spell or ability, destroy target artifact","--Nature gazes better than the confused cobweb
Though a single crown folds more than the greatest rock will
– Nephikitty IV",,,,,
Bloodcrazed Familiar,2W,Creature - Bird Soldier (2/2),"
Flying

3WW: ~this~ deals 1 damage to target attacking or blocking black creature for each black creature on the battlefield

Tap an untapped library you control: Up to three target creatures are black until end of turn","--The greatest grandfather can imprint the shape
– Chyss, Warrior Prophet",,,,,
Restoration,W,Instant,"
Attach target Aura to target green creature. Gain control of that Aura (This effect doesn't end)",,,,,,
Messenger Frog,G,Creature - Human Warrior (1/1),"
Whenever one or more creatures are put into a graveyard from the battlefield, 
target creature gets +2/+1 until end of turn","--The proper hobbies glows faster than even the whispered food
– Folk Song (Trad.) (dead)",,,,,
Beam of Blizzards,G,Instant,"
Untap two target Treefolk

Spellmorph 1G",,,,,,
Avenging Chopper,3W,Creature - Giant Samurai (1/2),"
Bushido 2, Reach, Lifelink

3: clash with an opponent. If you win, attach target Equipment to target Samurai. (Control of that Equipment doesn't change.)
","--The fiercest jar may twist
– Unknown IV",,,,,
Bloom Starver,B,Creature - Vampire (2/1),"
Flying

Whenever an opponent loses life, each player may return two cards from his or her graveyard 
to the battlefield and target Vampire gains fear until end of turn

If ~this~ would be put into a graveyard from the battlefield, exile it instead

Echo 2","-- When provoked, His winter divides more than even the grandest wood
Although his rope admires more profoundly than the beautiful week could
– Eciel, Druid of the Citadel",,,,,
Phallic Gargoyle,W,Creature - Bird (1/2),"
Flying

At the beginning of your upkeep, destroy a creature you control and a creature an opponent controls. They can't be regenerated.",,,,,,
Undead Giant,1RR,Creature - Dwarf Samurai (2/1),"
Bushido 3

4R, T: destroy two target artifacts

2R, T: destroy target artifact

Pay 3 life: put a +1/+1 counter on ~this~

4, Pay 1 life, remove any number of +1/+1 counters from ~this~: 
~this~ deals that much damage to target creature or player","--Her bedroom enlarges even the forest
– Flosheethe the Harsh, Initiate Whip of the Shimmering Wilderness",,,,,
Safe Elf,1G,Creature - Elf Shaman (1/1),"
All Elves get +1/+1

3, T: ~this~ deals damage to target creature with flying for each elf on the battlefield.

1, Tap an untapped library you control: put a 1/1 green elf creature token onto the battlefield under your control ",,,,,,
Void Girl,2G,Creature - Human Druid (2/2),"
Whenever an opponent casts a green creature spell with converted mana cost 4 or higher, ~this~ gets +5/+5 until end of turn.

Discard a card, Tap an untapped Druid you control: Add two mana of any one colour to your mana pool",,,,,,
Third Castle,,Land,"
Tap an untapped artifact you control, Pay 1 life, T: add BG to your mana pool

T: add 1 to your mana pool",,,,,,
Missing Brute,1(B/R),Creature - Human Warrior (2/3),"
When ~this~ leaves the battlefield, all creatures with total power and toughness 2 or less get +3/+0 until end of turn

All permanents gain ''3: target creature with both power and toughness 4 gets +3/+0 until end of turn''","--His beast pauses just one rat but hugs more impressively than the best winter never
Whilst even one boot is greater than the aspirational butter
– 4chan, the black wise-man",,,,,
Solitude Redoubt,,Legendary Land,"
~this~ enters the battlefield tapped.

T, sacrifice ~this~: each player may search his or her library for up to two basic land cards and put them into the battlefield tapped. 
Each player who searched his or her library this way shuffles it.","--Humanity collapses the most skilled power
– Traditional (dead)",,,,,
Beam of Fear,RG,Instant,"
~this~ deals 1 damage to each of two target creatures for each card in your hand",,,,,,
Mutating Fiend,2G,Creature - Snake Druid (1/2),"
Discard a enchantment card: target player gains 2 life

1G, Sacrifice ~this~: you may put up to two cards from your graveyard into your hand.","--Every fastest nest made of solid can wall off
– Idon, King King",,,,,
Flying Knight,(W/U)(W/U),Creature - Human Cleric (2/2),"
When ~this~ enters the battlefield, each player may search his or her library for up to two basic land cards and put them into the battlefield tapped. 
Each player who searched his or her library this way shuffles it.

Whenever an opponent casts a artifact spell, you may Discard a card. If you do, untap two target creatures",,,,,,
Cursed Ox,2R,Creature - Beast (2/2),"Reach

Sacrifice ~this~: up to five target Beasts get +1/+0 until end of turn

Whenever a creature is dealt damage, target Merfolk gets +1/-1 until end of turn for each creature on the battlefield",,,,,,
Turn to Ash,GGW,Sorcery,"
All white creatures gain flying until end of turn

Spellmorph 1GW",,,,,,
Primeval Berserker,2R,Artifact Creature - Golem (3/3),"Rampage 3
Flying

When ~this~ is put into a graveyard from the battlefield, 
distribute up to two charge counters on up to two target permanents","-- When sleepy, Her cup proves better than the greatest visitor
– Tyquua Skiogethoth, Prophet Mage",,,,,
Calm Spellshield,RG,Instant,"
Put two 1/1 green Snake creature tokens with reach onto the battlefield",,,,,,
Indignation of Logic,1GG,Instant,"
Target creature gets +4/+3 until end of turn

Spellmorph G","--The whispered summer can envy the fuel
– Tranin Nighteye",,,,,
Servant to the Eldrazi,BR,Creature - Rat (2/3),"
Pay 1 life, T: draw two cards, then discard a card.
You may tap an untapped library you control. If you do, instead draw two cards. ",,,,,,
Wall of Fields,RR,Creature - Beast (2/1),"
When ~this~ enters the battlefield, you reveal cards from the top of your library 
until you reveal a sorcery card, put that card into hand, and shuffle the rest into your library.",,,,,,
Blinding Crow,4(G/U),Creature - Angel (3/3),"
Flying

When ~this~ enters the battlefield, target player may pay 3. 
If that player doesn't, target creature can't attack or block until end of turn

Pay 1 life: ~this~ gains vigilance until end of turn",,,,,,
Calm of Honesty,1U,Tribal Instant - Generated Merfolk,"
Kicker 1U

If you paid the kicker cost, you reveal the top four cards of your library. you put all artifact cards from among them into play, and put the rest on top of your library in any order

counter non creature spell or target activated ability",,,,,,
Oracle of Treasure,2U,Artifact Creature - Merfolk Wizard (1/1),"Flash

All other permanents you control can't be the target of spells and activated abilities

When ~this~ enters the battlefield, you may pay 1U. If you do, counter target spell or ability","--A temper lives more impressively than the wisest picture never
– Yeatosoust, Rebel of the Crag",,,,,
Lunar Rage,4UUU,Instant,"
Return target green creature to its owner's hand

Spellmorph 1U",,,,,,
Steadfast Guardian,1R,Creature - Viashino Shaman (1/2),"
All flying creatures can't block

When ~this~ enters the battlefield, you may Sacrifice a artifact creature. If you do, you gain 5 life

Tap an untapped library you control: Target creature an opponent controls gains flying until end of turn",,,,,,
Siphon Life,1BBB,Sorcery,"You may tap an untapped library you control as an additional cost to cast this spell.

Draw a card for each basic land type among lands you control, if you paid the additional cost, instead scry 1, then draw a card for each basic land type among lands you control

Spellmorph 3B","--The fastest toes may wall off a single achieve
– Auki, Cold Hermit",,,,,
